date,home_team,away_team,home_score,away_score,result
2025-04-18,00 804 λτρινχαμ Ρτσντελ 2.77 3.15 2.35,1 - 2 2,0,1,away
2025-04-18,00 805 Σουθεντ Μπριντρι 1.78 3.40 4.00,0 - 0 X,0,0,draw
2025-04-18,00 806 Τμγουορθ Σλιχαλ Μουρς 1.81 3.50 3.80,1 - 2 2,1,0,home
2025-04-18,00 807 Φιλντ Χλιφαξ 2.95 3.25 2.22,0 - 1 2,0,1,away
2025-04-18,00 808 βελε Τσλμσφορντ Στι 2.60 3.20 2.35,1 - 0 1,0,0,draw
2025-04-18,00 809 Γουιμουθ Σαλισμπρι Στι 2.42 3.25 2.50,2 - 2 X,2,0,home
2025-04-18,00 810 Γουλινγκ Γιουνιτεντ Μεντστουν 5.35 3.80 1.48,0 - 4 2,0,2,away
2025-04-18,00 811 νφιλντ Τουν Σεντ λμπανς 2.60 3.10 2.40,1 - 1 X,1,1,draw
2025-04-18,00 812 στμπουρν Μπρο Γουρθινγκ 2.12 3.30 2.87,1 - 1 X,0,1,away
2025-04-18,00 813 Ντρκινγκ Γουντερερς Χμπτον Ρτσμοντ 1.24 5.35 8.00,4 - 2 1,4,0,home
2025-04-18,00 816 Σλου Τουν Μπραμ Γουντ 4.75 3.90 1.52,2 - 4 2,1,3,away
2025-04-18,00 817 Τνμπριτζ ιντζελς Χρντσερτς 2.57 3.15 2.40,0 - 1 2,0,1,away
2025-04-18,00 818 Τρορο Στι Τορκ 2.20 3.00 3.00,0 - 1 2,0,0,draw
2025-04-18,00 819 Τσπενχαμ Τουν Γουστον Σοπερ Μιρ 4.50 3.65 1.60,2 - 0 1,0,0,draw
2025-04-18,00 820 Φρνμπορο Μπαθ Στι 2.18 3.10 2.90,0 - 2 2,0,1,away
2025-04-18,00 821 Χμελ Χμπστεντ Τσσχαμ Γιουνιτεντ 2.17 3.25 2.85,2 - 0 1,0,0,draw
2025-04-18,00 822 Λοκομοτβα Ζγκρεμπ Σλβεν Μπελοπο 2.60 3.15 2.50,0 - 2 2,0,0,draw
2025-04-18,00 823 Οτελολ Γκαλτι Ουνιρα 2004 Σλομπζια 1.67 3.30 4.75,2 - 0 1,1,0,home
2025-04-18,00 1565 Γιουνιτεντ Οφ Μντσεστερ Γουτμπι 2.00 3.40 2.95,2 - 3 2,0,2,away
2025-04-18,00 1566 Κρι Βλει Πιπερ Μιλς Γουιτχοκ 1.28 4.75 6.85,3 - 0 1,2,0,home
2025-04-18,00 1588 Λοις Καρσλτον Αθλτικ 2.52 3.30 2.30,1 - 3 2,1,0,home
2025-04-18,00 1589 Μπιλερικι Φλκεστοουν Ινβκτα 1.28 4.75 7.15,2 - 0 1,0,0,draw
2025-04-18,00 1590 Ντρτφορντ Ντβερ 1.97 3.30 3.10,3 - 1 1,2,0,home
2025-04-18,00 1591 Τστσεστερ Στι Τσσχαντ 1.58 3.90 4.00,4 - 0 1,3,0,home
2025-04-18,00 1592 Χρσχαμ Κρι Γουντερερς 1.37 4.35 6.00,3 - 0 1,1,0,home
2025-04-18,00 1593 λβετσερτς Χτσιν Τουν 1.52 4.00 4.50,4 - 1 1,3,1,home
2025-04-18,00 1594 Γκλουσεστερ Μρλοου 1.14 6.75 9.25,7 - 0 1,6,0,home
2025-04-18,00 1595 Μπεσινγκστουκ Ττον 3.75 4.25 1.58,0 - 0 X,0,0,draw
2025-04-18,00 1597 Ρντιτς Χρμπορο Τουν 2.47 3.35 2.32,0 - 1 2,0,1,away
2025-04-18,00 1598 Σλινγκ Μρτιρ Τουν 3.50 3.90 1.68,0 - 3 2,0,2,away
2025-04-18,00 1599 Τλφορντ Λβεστοφτ 1.09 7.50 11.50,7 - 1 1,5,1,home
2025-04-18,00 1600 Φρουμ Τουν Ντρτσεστερ 3.15 3.45 1.91,2 - 3 2,1,2,away
2025-04-18,00 1601 Χνγκερφορντ Τουν Γουμπορν Τουν 1.75 3.60 3.50,1 - 1 X,0,0,draw
2025-04-18,00 1602 ουντα Τοκουμς 2000 1.22 5.50 8.75,2 - 0 1,1,0,home
2025-04-18,00 1636 Κουρεσρε Πρνου Βπρους 2.90 3.15 2.12,1 - 0 1,1,0,home
2025-04-18,00 1641 Γκρτα κρανες 6.75 5.50 1.25,1 - 4 2,0,1,away
2025-04-18,00 1642 Σλφος Χαουκρ 1.57 4.25 4.00,4 - 0 1,2,0,home
2025-04-18,00 1658 Γκφλε Βσαλουντς 3.35 3.40 1.85,1 - 2 2,1,0,home
2025-04-18,00 1659 Λοντς σκαρσαμνς ΑΚ 1.41 4.25 5.35,3 - 0 1,1,0,home
